"knot_id" "number_of_crossings" "is_alternating" "signature" "s-value"
"345" "KhPolQ_K11n_120" 11 0 -2 2
"346" "KhPolQ_K11n_120!" 11 0 2 -2
"347" "KhPolQ_K11n_121" 11 0 4 -4
"348" "KhPolQ_K11n_121!" 11 0 -4 4
"349" "KhPolQ_K11n_122" 11 0 2 -2
"350" "KhPolQ_K11n_122!" 11 0 -2 2
"351" "KhPolQ_K11n_123" 11 0 0 0
"352" "KhPolQ_K11n_123!" 11 0 0 0
"353" "KhPolQ_K11n_124" 11 0 -2 2
"354" "KhPolQ_K11n_124!" 11 0 2 -2
"355" "KhPolQ_K11n_125" 11 0 -2 2
"356" "KhPolQ_K11n_125!" 11 0 2 -2
"357" "KhPolQ_K11n_126" 11 0 -6 6
"358" "KhPolQ_K11n_126!" 11 0 6 -6
"359" "KhPolQ_K11n_127" 11 0 2 -2
"360" "KhPolQ_K11n_127!" 11 0 -2 2
"361" "KhPolQ_K11n_128" 11 0 -2 2
"362" "KhPolQ_K11n_128!" 11 0 2 -2
"363" "KhPolQ_K11n_129" 11 0 2 -2
"364" "KhPolQ_K11n_129!" 11 0 -2 2
"365" "KhPolQ_K11n_130" 11 0 0 0
"366" "KhPolQ_K11n_130!" 11 0 0 0
"367" "KhPolQ_K11n_131" 11 0 2 -2
"368" "KhPolQ_K11n_131!" 11 0 -2 2
"369" "KhPolQ_K11n_132" 11 0 0 0
"370" "KhPolQ_K11n_132!" 11 0 0 0
"371" "KhPolQ_K11n_133" 11 0 -4 4
"372" "KhPolQ_K11n_133!" 11 0 4 -4
"373" "KhPolQ_K11n_134" 11 0 2 -2
"374" "KhPolQ_K11n_134!" 11 0 -2 2
"375" "KhPolQ_K11n_135" 11 0 -4 4
"376" "KhPolQ_K11n_135!" 11 0 4 -4
"377" "KhPolQ_K11n_136" 11 0 -6 6
"378" "KhPolQ_K11n_136!" 11 0 6 -6
"379" "KhPolQ_K11n_137" 11 0 4 -4
"380" "KhPolQ_K11n_137!" 11 0 -4 4
"381" "KhPolQ_K11n_138" 11 0 -2 0
"382" "KhPolQ_K11n_138!" 11 0 2 0
"383" "KhPolQ_K11n_139" 11 0 0 0
"384" "KhPolQ_K11n_139!" 11 0 0 0
"385" "KhPolQ_K11n_140" 11 0 2 -2
"386" "KhPolQ_K11n_140!" 11 0 -2 2
"387" "KhPolQ_K11n_141" 11 0 0 0
"388" "KhPolQ_K11n_141!" 11 0 0 0
"389" "KhPolQ_K11n_142" 11 0 0 0
"390" "KhPolQ_K11n_142!" 11 0 0 0
"391" "KhPolQ_K11n_143" 11 0 0 0
"392" "KhPolQ_K11n_143!" 11 0 0 0
"393" "KhPolQ_K11n_144" 11 0 -4 4
"394" "KhPolQ_K11n_144!" 11 0 4 -4
"395" "KhPolQ_K11n_145" 11 0 0 0
"396" "KhPolQ_K11n_145!" 11 0 0 0
"397" "KhPolQ_K11n_146" 11 0 -2 2
"398" "KhPolQ_K11n_146!" 11 0 2 -2
"399" "KhPolQ_K11n_147" 11 0 -4 4
"400" "KhPolQ_K11n_147!" 11 0 4 -4
"401" "KhPolQ_K11n_148" 11 0 -2 2
"402" "KhPolQ_K11n_148!" 11 0 2 -2
"403" "KhPolQ_K11n_149" 11 0 -4 4
"404" "KhPolQ_K11n_149!" 11 0 4 -4
"405" "KhPolQ_K11n_150" 11 0 -2 2
"406" "KhPolQ_K11n_150!" 11 0 2 -2
"407" "KhPolQ_K11n_151" 11 0 -2 2
"408" "KhPolQ_K11n_151!" 11 0 2 -2
"409" "KhPolQ_K11n_152" 11 0 -2 2
"410" "KhPolQ_K11n_152!" 11 0 2 -2
"411" "KhPolQ_K11n_153" 11 0 0 0
"412" "KhPolQ_K11n_153!" 11 0 0 0
"413" "KhPolQ_K11n_154" 11 0 -2 2
"414" "KhPolQ_K11n_154!" 11 0 2 -2
"415" "KhPolQ_K11n_155" 11 0 -2 2
"416" "KhPolQ_K11n_155!" 11 0 2 -2
"417" "KhPolQ_K11n_156" 11 0 0 0
"418" "KhPolQ_K11n_156!" 11 0 0 0
"419" "KhPolQ_K11n_157" 11 0 0 0
"420" "KhPolQ_K11n_157!" 11 0 0 0
"421" "KhPolQ_K11n_158" 11 0 -4 4
"422" "KhPolQ_K11n_158!" 11 0 4 -4
"423" "KhPolQ_K11n_159" 11 0 2 -2
"424" "KhPolQ_K11n_159!" 11 0 -2 2
"425" "KhPolQ_K11n_160" 11 0 -2 2
"426" "KhPolQ_K11n_160!" 11 0 2 -2
"427" "KhPolQ_K11n_161" 11 0 -2 2
"428" "KhPolQ_K11n_161!" 11 0 2 -2
"429" "KhPolQ_K11n_162" 11 0 -2 2
"430" "KhPolQ_K11n_162!" 11 0 2 -2
"431" "KhPolQ_K11n_163" 11 0 -2 2
"432" "KhPolQ_K11n_163!" 11 0 2 -2
"433" "KhPolQ_K11n_164" 11 0 -4 4
"434" "KhPolQ_K11n_164!" 11 0 4 -4
"435" "KhPolQ_K11n_165" 11 0 0 0
"436" "KhPolQ_K11n_165!" 11 0 0 0
"437" "KhPolQ_K11n_166" 11 0 -2 2
"438" "KhPolQ_K11n_166!" 11 0 2 -2
"439" "KhPolQ_K11n_167" 11 0 -2 2
"440" "KhPolQ_K11n_167!" 11 0 2 -2
"441" "KhPolQ_K11n_168" 11 0 -2 2
"442" "KhPolQ_K11n_168!" 11 0 2 -2
"443" "KhPolQ_K11n_169" 11 0 -6 6
"444" "KhPolQ_K11n_169!" 11 0 6 -6
"445" "KhPolQ_K11n_170" 11 0 2 -2
"446" "KhPolQ_K11n_170!" 11 0 -2 2
"447" "KhPolQ_K11n_171" 11 0 -4 4
"448" "KhPolQ_K11n_171!" 11 0 4 -4
"449" "KhPolQ_K11n_172" 11 0 0 0
"450" "KhPolQ_K11n_172!" 11 0 0 0
"451" "KhPolQ_K11n_173" 11 0 -4 4
"452" "KhPolQ_K11n_173!" 11 0 4 -4
"453" "KhPolQ_K11n_174" 11 0 -4 4
"454" "KhPolQ_K11n_174!" 11 0 4 -4
"455" "KhPolQ_K11n_175" 11 0 -4 4
"456" "KhPolQ_K11n_175!" 11 0 4 -4
"457" "KhPolQ_K11n_176" 11 0 2 -2
"458" "KhPolQ_K11n_176!" 11 0 -2 2
"459" "KhPolQ_K11n_177" 11 0 -2 2
"460" "KhPolQ_K11n_177!" 11 0 2 -2
"461" "KhPolQ_K11n_178" 11 0 -2 2
"462" "KhPolQ_K11n_178!" 11 0 2 -2
"463" "KhPolQ_K11n_179" 11 0 0 0
"464" "KhPolQ_K11n_179!" 11 0 0 0
"465" "KhPolQ_K11n_180" 11 0 -6 6
"466" "KhPolQ_K11n_180!" 11 0 6 -6
"467" "KhPolQ_K11n_181" 11 0 -4 4
"468" "KhPolQ_K11n_181!" 11 0 4 -4
"469" "KhPolQ_K11n_182" 11 0 0 0
"470" "KhPolQ_K11n_182!" 11 0 0 0
"471" "KhPolQ_K11n_183" 11 0 -4 6
"472" "KhPolQ_K11n_183!" 11 0 4 -6
"473" "KhPolQ_K11n_184" 11 0 -2 2
"474" "KhPolQ_K11n_184!" 11 0 2 -2
"475" "KhPolQ_K11n_185" 11 0 -4 4
"476" "KhPolQ_K11n_185!" 11 0 4 -4
"477" "KhPolQ_K12n_1" 12 0 0 0
"478" "KhPolQ_K12n_1!" 12 0 0 0
"479" "KhPolQ_K12n_2" 12 0 -2 2
"480" "KhPolQ_K12n_2!" 12 0 2 -2
"481" "KhPolQ_K12n_3" 12 0 0 0
"482" "KhPolQ_K12n_3!" 12 0 0 0
"483" "KhPolQ_K12n_4" 12 0 0 0
"484" "KhPolQ_K12n_4!" 12 0 0 0
"485" "KhPolQ_K12n_5" 12 0 2 -2
"486" "KhPolQ_K12n_5!" 12 0 -2 2
"487" "KhPolQ_K12n_6" 12 0 -4 4
