"knot_id" "number_of_crossings" "is_alternating" "signature" "s-value" "norm"
"199" "KhPolQ_K11n_47" 11 0 -4 4 19
"200" "KhPolQ_K11n_47!" 11 0 4 -4 19
"201" "KhPolQ_K11n_48" 11 0 0 0 10.4403065089106
"202" "KhPolQ_K11n_48!" 11 0 0 0 10.4403065089106
"203" "KhPolQ_K11n_49" 11 0 0 0 3
"204" "KhPolQ_K11n_49!" 11 0 0 0 3
"205" "KhPolQ_K11n_50" 11 0 0 0 9
"206" "KhPolQ_K11n_50!" 11 0 0 0 9
"207" "KhPolQ_K11n_51" 11 0 0 0 10.0498756211209
"208" "KhPolQ_K11n_51!" 11 0 0 0 10.0498756211209
"209" "KhPolQ_K11n_52" 11 0 -2 2 21.1896201004171
"210" "KhPolQ_K11n_52!" 11 0 2 -2 21.1896201004171
"211" "KhPolQ_K11n_53" 11 0 0 0 13.1529464379659
"212" "KhPolQ_K11n_53!" 11 0 0 0 13.1529464379659
"213" "KhPolQ_K11n_54" 11 0 -2 2 15.3297097167559
"214" "KhPolQ_K11n_54!" 11 0 2 -2 15.3297097167559
"215" "KhPolQ_K11n_55" 11 0 0 0 21.8403296678416
"216" "KhPolQ_K11n_55!" 11 0 0 0 21.8403296678416
"217" "KhPolQ_K11n_56" 11 0 -2 2 12.2882057274445
"218" "KhPolQ_K11n_56!" 11 0 2 -2 12.2882057274445
"219" "KhPolQ_K11n_57" 11 0 -6 6 3
"220" "KhPolQ_K11n_57!" 11 0 6 -6 3
"221" "KhPolQ_K11n_58" 11 0 2 -2 12.2882057274445
"222" "KhPolQ_K11n_58!" 11 0 -2 2 12.2882057274445
"223" "KhPolQ_K11n_59" 11 0 -4 4 18.9472953214964
"224" "KhPolQ_K11n_59!" 11 0 4 -4 18.9472953214964
"225" "KhPolQ_K11n_60" 11 0 -2 2 10.9087121146357
"226" "KhPolQ_K11n_60!" 11 0 2 -2 10.9087121146357
"227" "KhPolQ_K11n_61" 11 0 -4 4 6.08276253029822
"228" "KhPolQ_K11n_61!" 11 0 4 -4 6.08276253029822
"229" "KhPolQ_K11n_62" 11 0 0 0 11.7898261225516
"230" "KhPolQ_K11n_62!" 11 0 0 0 11.7898261225516
"231" "KhPolQ_K11n_63" 11 0 -2 2 13.6014705087354
"232" "KhPolQ_K11n_63!" 11 0 2 -2 13.6014705087354
"233" "KhPolQ_K11n_64" 11 0 -4 4 7.14142842854285
"234" "KhPolQ_K11n_64!" 11 0 4 -4 7.14142842854285
"235" "KhPolQ_K11n_65" 11 0 0 0 11.9582607431014
"236" "KhPolQ_K11n_65!" 11 0 0 0 11.9582607431014
"237" "KhPolQ_K11n_66" 11 0 -2 2 27.1477439209965
"238" "KhPolQ_K11n_66!" 11 0 2 -2 27.1477439209965
"239" "KhPolQ_K11n_67" 11 0 0 0 5.19615242270663
"240" "KhPolQ_K11n_67!" 11 0 0 0 5.19615242270663
"241" "KhPolQ_K11n_68" 11 0 -2 2 22.7376340018041
"242" "KhPolQ_K11n_68!" 11 0 2 -2 22.7376340018041
"243" "KhPolQ_K11n_69" 11 0 -4 4 16.2172747402269
"244" "KhPolQ_K11n_69!" 11 0 4 -4 16.2172747402269
"245" "KhPolQ_K11n_70" 11 0 -4 2 4.58257569495584
"246" "KhPolQ_K11n_70!" 11 0 4 -2 4.58257569495584
"247" "KhPolQ_K11n_71" 11 0 -2 2 22.6936114358204
"248" "KhPolQ_K11n_71!" 11 0 2 -2 22.6936114358204
"249" "KhPolQ_K11n_72" 11 0 -4 4 29.2403830344269
"250" "KhPolQ_K11n_72!" 11 0 4 -4 29.2403830344269
"251" "KhPolQ_K11n_73" 11 0 0 0 5.56776436283002
"252" "KhPolQ_K11n_73!" 11 0 0 0 5.56776436283002
"253" "KhPolQ_K11n_74" 11 0 0 0 5.56776436283002
"254" "KhPolQ_K11n_74!" 11 0 0 0 5.56776436283002
"255" "KhPolQ_K11n_75" 11 0 2 -2 22.6936114358204
"256" "KhPolQ_K11n_75!" 11 0 -2 2 22.6936114358204
"257" "KhPolQ_K11n_76" 11 0 4 -4 16.1554944214035
"258" "KhPolQ_K11n_76!" 11 0 -4 4 16.1554944214035
"259" "KhPolQ_K11n_77" 11 0 -6 8 11.1803398874989
"260" "KhPolQ_K11n_77!" 11 0 6 -8 11.1803398874989
"261" "KhPolQ_K11n_78" 11 0 -4 4 16.1554944214035
"262" "KhPolQ_K11n_78!" 11 0 4 -4 16.1554944214035
"263" "KhPolQ_K11n_79" 11 0 -2 0 5.3851648071345
"264" "KhPolQ_K11n_79!" 11 0 2 0 5.3851648071345
"265" "KhPolQ_K11n_80" 11 0 2 -2 7.41619848709566
"266" "KhPolQ_K11n_80!" 11 0 -2 2 7.41619848709566
"267" "KhPolQ_K11n_81" 11 0 -6 6 9.8488578017961
"268" "KhPolQ_K11n_81!" 11 0 6 -6 9.8488578017961
"269" "KhPolQ_K11n_82" 11 0 -2 2 6.70820393249937
"270" "KhPolQ_K11n_82!" 11 0 2 -2 6.70820393249937
"271" "KhPolQ_K11n_83" 11 0 0 0 17.6918060129541
"272" "KhPolQ_K11n_83!" 11 0 0 0 17.6918060129541
"273" "KhPolQ_K11n_84" 11 0 2 -2 12.6885775404495
"274" "KhPolQ_K11n_84!" 11 0 -2 2 12.6885775404495
"275" "KhPolQ_K11n_85" 11 0 0 0 16.0934769394311
"276" "KhPolQ_K11n_85!" 11 0 0 0 16.0934769394311
"277" "KhPolQ_K11n_86" 11 0 0 0 12.1243556529821
"278" "KhPolQ_K11n_86!" 11 0 0 0 12.1243556529821
"279" "KhPolQ_K11n_87" 11 0 2 -2 18.3030052177231
"280" "KhPolQ_K11n_87!" 11 0 -2 2 18.3030052177231
"281" "KhPolQ_K11n_88" 11 0 -6 6 4.12310562561766
"282" "KhPolQ_K11n_88!" 11 0 6 -6 4.12310562561766
"283" "KhPolQ_K11n_89" 11 0 4 -4 21.9317121994613
"284" "KhPolQ_K11n_89!" 11 0 -4 4 21.9317121994613
"285" "KhPolQ_K11n_90" 11 0 -4 4 14.6628782986152
"286" "KhPolQ_K11n_90!" 11 0 4 -4 14.6628782986152
"287" "KhPolQ_K11n_91" 11 0 2 -2 10.816653826392
"288" "KhPolQ_K11n_91!" 11 0 -2 2 10.816653826392
"289" "KhPolQ_K11n_92" 11 0 2 0 5.56776436283002
"290" "KhPolQ_K11n_92!" 11 0 -2 0 5.56776436283002
"291" "KhPolQ_K11n_93" 11 0 -6 6 17
"292" "KhPolQ_K11n_93!" 11 0 6 -6 17
"293" "KhPolQ_K11n_94" 11 0 0 0 20.6155281280883
"294" "KhPolQ_K11n_94!" 11 0 0 0 20.6155281280883
"295" "KhPolQ_K11n_95" 11 0 -4 4 12.4498995979887
"296" "KhPolQ_K11n_95!" 11 0 4 -4 12.4498995979887
"297" "KhPolQ_K11n_96" 11 0 -2 0 4.12310562561766
"298" "KhPolQ_K11n_96!" 11 0 2 0 4.12310562561766
"299" "KhPolQ_K11n_97" 11 0 0 0 5.56776436283002
